TensorFlow Version: 1.0.1
Default GPU Device: /gpu:0
Tests Passed
Tests Passed
Tests Passed
Tests Passed
Tests Passed
Epoch: 0
--- loss: 62.14431381225586
--- loss: 38.68743896484375
--- loss: 30.276138305664062
--- loss: 24.240175247192383
--- loss: 17.677579879760742
--- loss: 11.715232849121094
--- loss: 10.431417465209961
--- loss: 9.541800498962402
--- loss: 8.970160484313965
--- loss: 6.849531173706055
--- loss: 5.511359691619873
--- loss: 4.171586990356445
--- loss: 3.6920950412750244
--- loss: 3.4208168983459473
--- loss: 3.3021390438079834
--- loss: 2.6402766704559326
--- loss: 1.959941029548645
--- loss: 2.0248544216156006
--- loss: 1.907062292098999
--- loss: 1.9447818994522095
--- loss: 1.3098170757293701
--- loss: 1.4396084547042847
--- loss: 1.2439566850662231
--- loss: 1.1087791919708252
--- loss: 1.1367367506027222
--- loss: 0.7989456653594971
--- loss: 1.2325495481491089
--- loss: 0.797625720500946
--- loss: 0.8916469216346741
--- loss: 0.7792718410491943
--- loss: 0.8342164158821106
--- loss: 0.5707959532737732
--- loss: 0.6032534241676331
--- loss: 0.5256096720695496
--- loss: 0.5334147214889526
--- loss: 0.461627334356308
--- loss: 0.6739961504936218
--- loss: 0.48286452889442444
--- loss: 0.5599644184112549
--- loss: 0.4955281615257263
--- loss: 0.43167808651924133
--- loss: 0.3321900963783264
--- loss: 0.36483120918273926
--- loss: 0.3096869885921478
--- loss: 0.2992885112762451
--- loss: 0.29710185527801514
--- loss: 0.2909458875656128
--- loss: 0.2619190514087677
--- loss: 0.31021150946617126
--- loss: 0.28880977630615234
--- loss: 0.2872644066810608
--- loss: 0.2515018582344055
--- loss: 0.3400115668773651
--- loss: 0.25047871470451355
--- loss: 0.28413182497024536
--- loss: 0.27591726183891296
--- loss: 0.2526015043258667
--- loss: 0.23792068660259247
Epoch: 1
--- loss: 0.25094547867774963
--- loss: 0.26858755946159363
--- loss: 0.25137120485305786
--- loss: 0.19669941067695618
--- loss: 0.2387959510087967
--- loss: 0.2228468656539917
--- loss: 0.2375672459602356
--- loss: 0.23078149557113647
--- loss: 0.20788970589637756
--- loss: 0.2592144012451172
--- loss: 0.27857616543769836
--- loss: 0.21583934128284454
--- loss: 0.196354478597641
--- loss: 0.24789035320281982
--- loss: 0.20406155288219452
--- loss: 0.20799723267555237
--- loss: 0.19597038626670837
--- loss: 0.2470301240682602
--- loss: 0.18963749706745148
--- loss: 0.17998769879341125
--- loss: 0.1862487494945526
--- loss: 0.22042010724544525
--- loss: 0.1767236441373825
--- loss: 0.19324864447116852
--- loss: 0.2025909423828125
--- loss: 0.216106116771698
--- loss: 0.18229010701179504
--- loss: 0.1624099463224411
--- loss: 0.20280203223228455
--- loss: 0.2262861430644989
--- loss: 0.21266017854213715
--- loss: 0.1796025186777115
--- loss: 0.26010584831237793
--- loss: 0.23189903795719147
--- loss: 0.18613776564598083
--- loss: 0.16127318143844604
--- loss: 0.18052759766578674
--- loss: 0.19810348749160767
--- loss: 0.21630540490150452
--- loss: 0.20014800131320953
--- loss: 0.2189706414937973
--- loss: 0.18718193471431732
--- loss: 0.19901558756828308
--- loss: 0.2071315497159958
--- loss: 0.21528787910938263
--- loss: 0.15999305248260498
--- loss: 0.2592834234237671
--- loss: 0.18895503878593445
--- loss: 0.18571807444095612
--- loss: 0.24353909492492676
--- loss: 0.1865069419145584
--- loss: 0.17422270774841309
--- loss: 0.1594676673412323
--- loss: 0.1853877305984497
--- loss: 0.21212993562221527
--- loss: 0.18414483964443207
--- loss: 0.2294275462627411
--- loss: 0.24952909350395203
Epoch: 2
--- loss: 0.141355499625206
--- loss: 0.19794028997421265
--- loss: 0.18260927498340607
--- loss: 0.18831901252269745
--- loss: 0.17806334793567657
--- loss: 0.23270542919635773
--- loss: 0.219029039144516
--- loss: 0.16489243507385254
--- loss: 0.159023717045784
--- loss: 0.16067355871200562
--- loss: 0.20251555740833282
--- loss: 0.1917276382446289
--- loss: 0.1782749593257904
--- loss: 0.20745998620986938
--- loss: 0.14920678734779358
--- loss: 0.2034805864095688
--- loss: 0.19581268727779388
--- loss: 0.14579714834690094
--- loss: 0.1764886975288391
--- loss: 0.13104046881198883
--- loss: 0.1713264286518097
--- loss: 0.1752907782793045
--- loss: 0.17621996998786926
--- loss: 0.13690835237503052
--- loss: 0.14455388486385345
--- loss: 0.13605853915214539
--- loss: 0.17898160219192505
--- loss: 0.17998282611370087
--- loss: 0.13920597732067108
--- loss: 0.16018545627593994
--- loss: 0.20686326920986176
--- loss: 0.15930180251598358
--- loss: 0.15543530881404877
--- loss: 0.1636899709701538
--- loss: 0.13989120721817017
--- loss: 0.15232224762439728
--- loss: 0.17497438192367554
--- loss: 0.12932804226875305
--- loss: 0.17296329140663147
--- loss: 0.1570957452058792
--- loss: 0.14795614778995514
--- loss: 0.15434576570987701
--- loss: 0.18287315964698792
--- loss: 0.1335742324590683
--- loss: 0.15611617267131805
--- loss: 0.15721715986728668
--- loss: 0.1562843769788742
--- loss: 0.20096781849861145
--- loss: 0.16864541172981262
--- loss: 0.12686166167259216
--- loss: 0.18796031177043915
--- loss: 0.25998878479003906
--- loss: 0.14340144395828247
--- loss: 0.16152767837047577
--- loss: 0.1578875631093979
--- loss: 0.216542050242424
--- loss: 0.14583471417427063
--- loss: 0.15404780209064484
Epoch: 3
--- loss: 0.2433789223432541
--- loss: 0.1499979943037033
--- loss: 0.14296522736549377
--- loss: 0.15537582337856293
--- loss: 0.15095612406730652
--- loss: 0.15526659786701202
--- loss: 0.17757929861545563
--- loss: 0.12301642447710037
--- loss: 0.15937969088554382
--- loss: 0.13150377571582794
--- loss: 0.13134287297725677
--- loss: 0.1847161054611206
--- loss: 0.151312917470932
--- loss: 0.13528048992156982
--- loss: 0.13466106355190277
--- loss: 0.13168945908546448
--- loss: 0.1722412109375
--- loss: 0.13354501128196716
--- loss: 0.17956241965293884
--- loss: 0.20305132865905762
--- loss: 0.1319960206747055
--- loss: 0.17109987139701843
--- loss: 0.15810458362102509
--- loss: 0.13865157961845398
--- loss: 0.14692658185958862
--- loss: 0.13690802454948425
--- loss: 0.1468251645565033
--- loss: 0.13619138300418854
--- loss: 0.1465688794851303
--- loss: 0.14306992292404175
--- loss: 0.164225235581398
--- loss: 0.14661702513694763
--- loss: 0.12906797230243683
--- loss: 0.1540437936782837
--- loss: 0.12533359229564667
--- loss: 0.1519881784915924
--- loss: 0.15575328469276428
--- loss: 0.1499800980091095
--- loss: 0.17039673030376434
--- loss: 0.14459875226020813
--- loss: 0.1305721551179886
--- loss: 0.17810596525669098
--- loss: 0.1300322711467743
--- loss: 0.13399481773376465
--- loss: 0.16325175762176514
--- loss: 0.20187580585479736
--- loss: 0.15124118328094482
--- loss: 0.1687251478433609
--- loss: 0.12764056026935577
--- loss: 0.20454001426696777
--- loss: 0.16534483432769775
--- loss: 0.13464175164699554
--- loss: 0.17081806063652039
--- loss: 0.13163669407367706
--- loss: 0.08643317967653275
--- loss: 0.11075671762228012
--- loss: 0.12418373674154282
--- loss: 0.21781815588474274
Epoch: 4
--- loss: 0.12243863940238953
--- loss: 0.11966829001903534
--- loss: 0.1480340212583542
--- loss: 0.12861348688602448
--- loss: 0.09892252832651138
--- loss: 0.1298888921737671
--- loss: 0.1144094467163086
--- loss: 0.11596441268920898
--- loss: 0.12264874577522278
--- loss: 0.16435734927654266
--- loss: 0.1135043203830719
--- loss: 0.15243422985076904
--- loss: 0.10866561532020569
--- loss: 0.12313404679298401
--- loss: 0.10072895884513855
--- loss: 0.1713586449623108
--- loss: 0.17058812081813812
--- loss: 0.10830959677696228
--- loss: 0.13912992179393768
--- loss: 0.1418524533510208
--- loss: 0.11374331265687943
--- loss: 0.14154236018657684
--- loss: 0.1214209794998169
--- loss: 0.12182644009590149
--- loss: 0.14073999226093292
--- loss: 0.13972927629947662
--- loss: 0.1366851031780243
--- loss: 0.1431494951248169
--- loss: 0.13537810742855072
--- loss: 0.12844374775886536
--- loss: 0.1603023111820221
--- loss: 0.1573541760444641
--- loss: 0.12666678428649902
